NO.,STATION,NAME,DATE,AWND(avg wind speed),PRCP(precipitation),SNOW(snowfall),TAVG(temprature avg),WDF2,WSF2,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT22,YYYY,Date,Var.28,Tm,home,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
7,USW00014739,"BOSTON, MA US",4/13/12,8.05,0,0,41,330,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,"Friday, Apr 13,2012",boxscore,BOS,,TBR,W,12,2,,5-Feb,5,2,Beckett,Price,,03:19,D,37032,+,
8,USW00014739,"BOSTON, MA US",4/14/12,10.07,0,0,48.9,250,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,"Saturday, Apr 14,2012",boxscore,BOS,,TBR,W,13,5,,5-Mar,5,2,Buchholz,Badenhop,,03:18,D,38024,++,
9,USW00014739,"BOSTON, MA US",4/15/12,9.84,0,0,54,260,19.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,"Sunday, Apr 15,2012",boxscore,BOS,,TBR,W,6,4,,5-Apr,4,1,Padilla,Moore,Aceves,03:12,D,38024,+++,
10,USW00014739,"BOSTON, MA US",4/16/12,9.62,0,0,59,210,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,"Monday, Apr 16,2012",boxscore,BOS,,TBR,L,0,1,,6-Apr,5,2,Shields,Bard,Rodney,03:08,D,38108,-,
11,USW00014739,"BOSTON, MA US",4/17/12,11.63,0,0,57,270,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,"Tuesday, Apr 17,2012",boxscore,BOS,,TEX,L,3,18,,7-Apr,5,3,Lewis,Lester,,03:25,N,38229,--,
12,USW00014739,"BOSTON, MA US",4/18/12,11.18,0,0,48.9,330,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,"Wednesday, Apr 18,2012",boxscore,BOS,,TEX,L,3,6,,8-Apr,5,3,Holland,Beckett,,03:03,N,37967,---,
13,USW00014739,"BOSTON, MA US",4/20/12,12.3,0,0,48.9,200,23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,"Friday, Apr 20,2012",boxscore,BOS,,NYY,L,2,6,,9-Apr,5,3.5,Nova,Buchholz,,03:18,D,36770,----,
14,USW00014739,"BOSTON, MA US",4/21/12,11.86,0.01,0,54,200,23.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,"Saturday, Apr 21,2012",boxscore,BOS,,NYY,L,9,15,,10-Apr,5,4.5,Soriano,Aceves,,03:52,D,37839,-----,
22,USW00014739,"BOSTON, MA US",4/30/12,10.74,0,0,41,200,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,"Monday, Apr 30,2012",boxscore,BOS,,OAK,W,11,6,,11-Nov,5,3.5,Buchholz,Milone,,03:23,N,37359,+,
24,USW00014739,"BOSTON, MA US",5/1/12,12.53,0.6,0,45,130,25.1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2012,"Tuesday, May 1,2012",boxscore,BOS,,OAK,L,3,5,,12-Nov,5,4.5,Parker,Doubront,Norberto,03:31,N,37225,-,
25,USW00014739,"BOSTON, MA US",5/2/12,9.17,0,0,45,90,15,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2012,"Wednesday, May 2,2012",boxscore,BOS,,OAK,L,2,4,,13-Nov,5,5.5,McCarthy,Bard,Fuentes,03:22,N,37434,--,
26,USW00014739,"BOSTON, MA US",5/4/12,6.71,0.01,0,48.9,210,14.1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2012,"Friday, May 4,2012",boxscore,BOS,,BAL,L,4,6,13,14-Nov,5,7,Patton,Morales,Johnson,04:37,N,37223,---,
27,USW00014739,"BOSTON, MA US",5/5/12,3.8,0.09,0,46,100,12.1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2012,"Saturday, May 5,2012",boxscore,BOS,,BAL,L,2,8,,15-Nov,5,7,Hammel,Cook,,02:56,D,37581,----,
