NO.,STATION,NAME,DATE,AWND(avg wind speed),PRCP(precipitation),SNOW(snowfall),TAVG(temprature avg),WDF2,WSF2,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT22,X__1,Unnamed: 0,YEAR,Date,OPPONENT,RESULT,ATTENDANCE,date
1,USW00014739,"BOSTON, MA US",11/2/12,9.62,0.03,0,48.5,300,16.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2012,"Fri, Nov 2,2012",vsMilwaukee,L99-88,18624,11/2/12
2,USW00014739,"BOSTON, MA US",11/7/12,23.04,0.33,0.1,38.5,40,38,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,2,2012,"Wed, Nov 7,2012",vsWashington,W100-94 OT,18624,11/7/12
3,USW00014739,"BOSTON, MA US",11/8/12,21.47,0.21,0.3,35.95,10,31.1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,2,3,2012,"Thu, Nov 8,2012",vsPhiladelphia,L106-100,18624,11/8/12
4,USW00014739,"BOSTON, MA US",11/14/12,10.96,0,0,40.5,20,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2012,"Wed, Nov 14,2012",vsUtah,W98-93,18624,11/14/12
5,USW00014739,"BOSTON, MA US",11/17/12,6.71,0,0,41.45,30,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2012,"Sat, Nov 17,2012",vsToronto,W107-89,18624,11/17/12
6,USW00014739,"BOSTON, MA US",11/21/12,9.4,0,0,43.4,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2012,"Wed, Nov 21,2012",vsSan Antonio,L112-100,18624,11/21/12
7,USW00014739,"BOSTON, MA US",11/23/12,8.72,0,0,42.45,210,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,7,2012,"Fri, Nov 23,2012",vsOklahoma City,W108-100,18624,11/23/12
8,USW00014739,"BOSTON, MA US",11/28/12,8.28,0,0,34,330,15,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,8,2012,"Wed, Nov 28,2012",vsBrooklyn,L95-83,18624,11/28/12
9,USW00014739,"BOSTON, MA US",11/30/12,8.05,0,0,33.95,230,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,2012,"Fri, Nov 30,2012",vsPortland,W96-78,18624,11/30/12
10,USW00014739,"BOSTON, MA US",12/5/12,15.88,0,0,45.05,330,25.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,10,2012,"Wed, Dec 5,2012",vsMinnesota,W104-94,18624,12/5/12
11,USW00014739,"BOSTON, MA US",12/8/12,4.92,0.34,0,44.95,240,13,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,10,11,2012,"Sat, Dec 8,2012",vsPhiladelphia,W92-79,18624,12/8/12
12,USW00014739,"BOSTON, MA US",12/12/12,7.83,0,0,35.4,300,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,2012,"Wed, Dec 12,2012",vsDallas,W117-115 2OT,18624,12/12/12
13,USW00014739,"BOSTON, MA US",12/19/12,15.43,0,0,41.45,320,25.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,13,2012,"Wed, Dec 19,2012",vsCleveland,W103-91,18624,12/19/12
14,USW00014739,"BOSTON, MA US",12/21/12,21.25,0.65,0,44.95,130,38.9,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13,14,2012,"Fri, Dec 21,2012",vsMilwaukee,L99-94 OT,18624,12/21/12
15,USW00014739,"BOSTON, MA US",1/2/13,13.65,0,0,21,290,23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,15,2013,"Tue, Jan 2,2013",vsMemphis,L93-83,18624,1/2/13
